Dates ,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023
bitcoin,1298951550,1449499974,1107084792,1220481782,1607960283,1561200410,2449516394,12464724345,9358693020,10271715012,6979712746,6023351178,5821425472,8094125581,8351853048,7773046502,6288710717,5079406228,4358250679,5146696229,4293958347,3119897131,3580465594,3456621445,3284896594,3176729203,3691294142,4047265066,3308579440,3489093808,4806796483,5417967322,6530621624,5623172735,6586086154,6410999714,7012822522,8416291167,10654888849,9564059424,9056523460,9763087935,11633474056,12062849170,16045986193,15922459702,19875003127,17634831647,22964730936,39868442922,40066457532,45126045891,80428274476,72162524814,1.1186E+11,1.83781E+11,2.3644E+11,1.70304E+11,1.74779E+11,1.18234E+11,1.56443E+11,1.27323E+11,1.09023E+11,1.32964E+11,1.21186E+11,1.14618E+11,1.10487E+11,69715049461,64422635600,60101226569,67016664287,72310769858,93534079556,1.52037E+11,1.93705E+11,1.79525E+11,1.72069E+11,1.48699E+11,1.65198E+11,1.3662E+11,1.30394E+11,1.6934E+11,1.56047E+11,1.1775E+11,1.58043E+11,1.74106E+11,1.68559E+11,2.08934E+11,2.15922E+11,1.9931E+11,2.55329E+11,3.63928E+11,5.39438E+11,6.15014E+11,8.38308E+11,1.09813E+12,1.08272E+12,6.99139E+11,6.602E+11,7.84039E+11,8.90015E+11,8.27841E+11,1.15984E+12,1.0768E+12,8.76193E+11,7.27905E+11,8.19019E+11,8.6501E+11,7.19611E+11,6.07393E+11,3.65984E+11,4.47051E+11,3.83348E+11,3.73222E+11,3.93311E+11,3.30763E+11,3.18278E+11,4.45991E+11,4.4601E+11,5.51707E+11,5.68513E+11,5.28464E+11,5.91722E+11,5.68334E+11,5.05403E+11,5.25936E+11,6.7632E+11
litecoin,62957992,53448601,58227332,58566621,54168590,51957976,52709695,793111861,601777194,582735252,358938030,355878160,310545992,321886754,245530415.1,235894857.4,149436384.4,143506236,118904453,122536225.2,95598027.03,65328393.14,69410421.36,62794932.3,54583268.24,63889490.47,158562626.2,172062098.4,118623982.7,127726304.5,164391383,149200282.8,154033993.1,135109968.1,151829890.3,146163866.6,169659496.5,217767371.8,199033998.3,181465185.9,181297130.1,183794096.7,197401221,191254371.1,221302264.8,201313023,196495988,358465944.4,808963889.4,1435461922,2054758131,2252222753,4522407487,2871664413,2852733226,5388083337,12577160934,8879163933,11226408946,6492927121,8264734775,6659040042,4617831260,4540042010,3604908420,3581759149,2938794340,1898766150,1786066933,1889887501,2776443425,3699609523,4536380340,7111085133,7624136053,6220195734,4060570099,3543015052,3714298106,3014907198,2631033888,4323780791,3729258960,2527868199,2985326130,2967645189,2677254553,3787764747,3983740403,3034119908,3664534669,5766226393,8232940083,8611596822,11051377800,13117192835,18154917670,12513820456,9639134230,9708449336,11475429431,10228958668,13222938865,14365979718,10165614443,7609502523,7901458520,8649611372,6741792114,4823421848,3753105758,4241999791,3820482929,3814320770,3942779692,5715045824,5044935488,6817827466,6771528858,6521042697,6463261911,6622747030,7898586034,6775825683,4701515303,4868862373,5084259040
ripple,0,0,0,0,45348764,93320587,48338638,412246710,211420757,161307302,107889224,68458134,42319410,31988929,28613472.45,44077140.22,145642003.5,138278733.4,135060926.4,383917073.2,755121561.1,438463676.4,391549836.5,243813242.7,256125029.7,242268219.3,358000976.1,262693311.9,253362209.9,176930995,163062249.1,137067517,199212393.2,222211084.5,271874459.7,255578278,236967545.6,202587027.7,240635376.9,210065763.4,211547709.9,290896614.1,287446455.1,241693735,231686616.2,239272554.8,199686682.9,844766180.1,2018318155,12879987331,9775484972,6768090489,9572348407,7797948780,7480166182,9863779006,89492073294,44316417201,35542648465,20016003614,32700504671,24031294247,18257097121,17119407950,13304200789,23189480865,18235384770,14607505066,14249680464,12697870805,12954764943,12902812760,12889724840,18550333541,16831748098,13704301137,11079217477,11011194094,12740421991,9800096980,8359480714,10415795950,10085552216,7641538582,9449611235,8966762755,7825863681,11629863144,12734844410,10899063751,10856481131,30191107729,9986921049,22460670801,18911825797,26345850653,73298828829,48054553992,32268800761,34822531550,55449845566,44546255849,52393229940,47048123046,39521292391,29553290453,37500615317,39229302715,28276768859,20519703901,15916873051,18430217002,16279792840,23954591313,23224524935,20719087977,17121133958,20688747113,19254765044,27928271774,24497798436,26998129477,24792368682,36854361563,27028578366,27482408020,32147046525
dogecoin,0,0,0,0,0,0,0,0,8079013,61902236,59278150,35541929,38085604,32411547,22049863.03,18579709.4,11824468.95,34176912.48,21115479.82,23134808.16,17803324.49,14070637.55,14363099,12477676.08,9827740.648,14148765.18,19102960.63,17595789.23,12820188.51,12360423.74,13588532.95,12971329.42,13896310.37,26986941.52,25517570.37,23142027.76,23527094.05,24352430.31,31446445.02,23487154.54,23531751.09,24791864.07,23385128.72,23136103.57,23734953.12,22397811.81,22826827.69,37372190.87,74634240.5,300732852.9,257227221.2,198695651.9,275253527.3,118789509.3,122571952.7,240287419,1023600846,666198506.9,675333042.8,318539152.1,606951621.5,386028074.2,287897248.2,348117920.1,566508785.1,691874674.1,444017276.9,255455152.3,275088048.6,225194904.8,229556545.6,246839814.8,303305122.7,423861644.7,386939808,345271427.1,298721760.4,287449283.8,317132867.1,283828268.9,249356786.8,293883414.1,277173142.3,224694247.5,303753871.6,319088845.3,289978285.4,402780720.3,405652921.4,333197389.8,325251670.1,453349206.1,597887560.8,4920829029,6201387147,7014689873,43856109573,42392462477,33047008786,27955385438,36566091552,26892267861,36909621915,28448975743,22624643574,18798749874,17644834542,18285023775,16949333837,11416191889,8694399568,9078991629,8122483672,8209024026,17350242400,14807108805,9675397665,13260998098,11172473928,10745789398,11129185210,10013398243,9288852427,10935386026,8984778019,8772288654,9651179085
monero,0,0,0,0,0,0,0,0,0,0,0,0,0,1934459,4276642.697,6599599.53,6499648.934,4496227.154,2548189.292,2376220.875,2563380.656,1832626.638,2728327.715,7009380.009,3691007.23,3619041.971,4142139.58,5031955.275,4165009.375,3854564.584,4146050.097,3861640.107,5413476.404,5357986.626,9342106.531,16642282.06,10753041.46,11080398.42,20628577.54,21247500.88,103416558.1,95885954.74,62311822.65,115815053.9,186132429.6,184240618.1,174295065.4,300688624.8,320316918.3,645948018.4,609745887,659686748.8,2128896942,1409725300,1308363535,2927739131,5552975744,4234399712,4488622855,2862251991,3850396262,2499523025,2118202612,1989175941,1904595405,1911857180,1705548998,981864121.8,776560583.2,721401952.7,797792074,939096468.2,1045176817,1601157733,1502405593,1383130998,1158573406,977683186,1019739423,950184435.5,776157310.4,1259500452,1154764535,837905258.6,1094705898,1145816843,1120923638,1490725451,1651981964,1911595493,2240360306,2304689876,2779917365,2458607353,3884159219,4403863579,7536424345,4891676583,3993051380,4336487627,5177096613,4520499909,4933857546,4303068396,4148227995,2650978292,3074588151,3849256680,3904806893,3638625709,2000524072,2812868878,2701539985,2678365285,2702558953,2585392912,2673636633,3225784888,2724444744,2868251848,2841844173,2652817198,3051328003,2933868334,2595174622,2663093636,3126034384
stellar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100866.942,3690840.62,2386295.566,9063212.486,19557193.89,13820517.56,4733783.698,11956846.07,12691822.97,14790776.07,16363154.35,12800026.49,11735120.6,10460582.53,10190655.69,7735803.937,8489972.406,8603902.264,9160592.615,11110829.53,10303515.01,8251991.084,11227453.76,10581243.43,10792400.25,16872382.38,13654748.51,11085490.76,17179247.85,16258683.81,12095008.55,18516553.9,46577010.29,409961692.8,254429614.6,193322824.6,392826960.7,227539061.9,454817309.8,1577818445,8872391248,9722922401,6158372863,3854703383,7853096613,5493890177,3605436870,5216634035,4152970888,4876145401,4282561766,3040092411,2126692131,1565273203,1618618249,2072985200,1903116281,2595761704,2058751858,1643943889,1232189932,1225905280,1298056518,1164132279,899314567.3,1224381882,1153127340,826568428.2,1393622536,1421995587,1364105412,1982030590,2007989999,1546137874,1624597150,4377605931,2809829047,6803504943,9196138609,9251273822,12165235232,9286268999,6556399444,6713258776,8106008886,6643428978,9033816399,8210078096,6620535983,4968881692,4896866345,5645051657,4209199874,3751573095,2754283014,2969452480,2632800268,2921464992,2858306732,2324403872,1862907920,2385282661,2302708033,2994056284,2541555676,2483882982,2994384934,4121666204,3155340112,3117311878,3382265669
tether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251600,451600,451600,451600,451600,451600,451600,451600,951600,0,1451581.129,1451591,1951591,2951591,5951591,6951584.048,6951591,6951591,6951589,6951590,9951590,24951566.05,24950944.1,54929547.06,58985214.03,108143500.7,219280202.8,318458361,322693265.8,436468042.4,451205462.2,770465654.4,1380279517,2201862497,2221331210,2288718941,2414259473,2509107720,2709184202,2453551347,2816280698,2787146948,2054728481,2047049156,2064549307,2057052052,2057342973,2056503958,2045683550,2060729990,3535311442,3569033681,3564804964,3566140174,4295520275,4286494287,4285941695,4277278308,4281707678,4282455239,7699585322,9087003496,9637841653,10778488967,13325296847,15517416775,16623463029,19100000432,20934027063,26460152363,35168931969,40816914164,51180431596,61813544731,62778375249,61982505061,66120214794,69520021606,71151207597,74252385372,78396945715,78062781790,79537958060,82044965080,83424696945,72483593606,66360128640,65871066520,67580452605,68032463505,69380585989,65511131601,66226451754,67834965073,70926090373,79808588133,81834959453,83259425002,83284621552,83791388840,82859256820,83258001885,84693605222
ethereum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98446826.49,50481342.53,78742733.25,65752486.03,71849843.67,170434539.3,585403826.4,915415691.5,703213705.3,1117038106,1005775063,905616046.1,1002979070,1121767153,923284106.1,730151014.2,705615194.8,946733901.5,1534004366,4554446900,7010408300,20436692118,24397386527,21282137211,36461379832,28442001971,27907457659,45142640782,75056629369,1.07664E+11,82862945951,39000868214,65710538602,57052511798,45125931777,43685748085,28697700432,23810956055,20443374891,11708062197,13677300455,11125649845,14233212113,14930496588,17017994744,28499454382,31176379855,23395542241,18507223778,19371744531,19802989402,16526371129,14097451632,19751392941,24105658619,14699970260,22894189506,25671662155,25169333234,38794882275,49098776608,40586538616,43692767478,69576210027,84037694047,1.50323E+11,1.6329E+11,2.21211E+11,3.21156E+11,3.14463E+11,2.65952E+11,2.97506E+11,4.03658E+11,3.55018E+11,5.07889E+11,5.49759E+11,4.39791E+11,3.20355E+11,3.49056E+11,3.94629E+11,3.30211E+11,2.35235E+11,1.25647E+11,2.01685E+11,1.8667E+11,1.60463E+11,1.89479E+11,1.56778E+11,1.44189E+11,1.91043E+11,1.93277E+11,2.19903E+11,2.27187E+11,2.25484E+11,2.32417E+11,2.23177E+11,1.97804E+11,2.00867E+11,2.18053E+11
ethereum-classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188461167.4,123621514,100524810.9,75476423.64,66117843.3,122421105.8,120268730.4,125040437.2,249168690.4,604766933.2,1554436345,1658912308,1364838165,2065736746,1224851314,994527429.7,3022892433,2974473656,2785797101,3277883634,1457934051,2170200513,1567213860,1652642113,1677300705,1329994517,1191441371,959146191.9,489826770.9,530736531.8,422882643.9,458444531.4,527768853.8,643637732.6,963256448.5,863937700.8,679573977.9,709407807.3,535021095.9,552587951.7,455103630.7,523237560.8,1322467917,858835904.1,575070209.5,753209055.9,803169995,666974179.8,858616052.1,769353364.8,628653961.2,612007918.9,782940570.5,657877318.7,861643741,1206770760,1648062946,4615252478,8928118557,7459993904,6669561303,8301779674,6117912103,7112554378,6347709833,4526526480,3408374317,3990808860,6331353428,3505361402,3227716285,1978867271,5058946113,4445364725,3807875752,3337212512,2829504834,2180675909,3024329378,2892155515,2914366614,2745766359,2543127173,2975508281,2631348524,2211710851,2342787168,2505885122
bitcoin-cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10240004577,6905598922,8899248424,24776544228,40987520108,24986848628,20482547864,11739842754,22986525798,17035217121,12817980329,13329475832,9414024372,9208065606,7456209328,3021942381,2612132470,1999731669,2300080406,2987846774,4700582035,7919553877,7205297071,5906248520,5021254542,4092113054,5127001265,3938274647,3721681728,6893275278,5642077351,4033232991,4604740584,4392939672,4101844915,5559662054,5089980423,4214806112,4864602893,5909604579,6376251184,7449992183,8619269696,10136792990,18575543739,13287925750,9895601022,10344426636,11993943715,9457946291,11283655120,10815755741,8179557335,5418678051,6373949038,7303136978,5327373837,3882969306,1932845053,2680081969,2202648278,2305434506,2212860305,2186026076,1862680696,2572738114,2542322666,2405793006,2295710939,2197748738,5943523720,4835352899,4039076994,4579814426,4784165498
binancecoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10116815.72,124362891.8,207284814.1,874105359.9,1095182398,1034409666,1100591194,1624677820,1615512909,1648892032,1347243331,1078009887,1446314353,1369356961,733037375,879152887.9,899814627.7,1488164311,2518457977,3142590563,4754217793,4511665471,4308951831,3301687997,2453809747,3060506253,2410939854,2103940815,2788030152,2982985654,1906878809,2521986646,2508703324,2283276874,3060607052,3429200222,4325855176,4195740162,4628855599,5507755823,6522941334,32747054924,46841566979,96328564775,54552491113,46954864789,51852888024,72059236390,59862261976,88397508686,1.04926E+11,86323960659,63111084941,66424867796,72076475923,63862082109,54115193869,35182367552,46356068028,45512248504,46399832662,53528392692,49274297384,40273794262,42108205614,47506411710,50095782785,53251356964,48465020079,37477654423,37107293026,33290878919,33034392756,34806395605
cardano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598812561,3392534112,19371162465,12949584182,7928659808,4032488129,8846201710,5816888952,4288143511,4451112816,3180792980,2649312387,2191647001,1214174050,1261212382,1187186856,1331427782,2174696705,2163523431,2794672967,2571108567,1988646317,1396454705,1206975603,1287621449,1258035023,1020670721,1685694719,1481631104,936797188.4,1509035251,2293903473,2585686957,4329088644,3800068625,3144236576,2891746978,5342764713,5664962992,11024882711,42022774484,38261200551,43251677970,55918127621,44441813699,42626960806,89320739294,67871265795,63182237771,49831565724,42196254346,33717971206,30630996790,36564438554,24181808101,21403006491,15248112249,17550498086,15116206759,14696613225,14239209402,11241301722,8639667067,13739947312,12341133082,14009040304,13971464375,13129990738,10050094321,10781568926,8938907040,8894395028,10221652687
tron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140761166.9,3396160240,3562404576,2839809835,2244484867,6145853033,3976994280,2525496191,2227507311,1664207198,1457076025,1474002806,942162802.1,1219908618,1658929787,1550692005,1564123251,1575016803,2170312508,2131420638,1481667779,1024664148,955244535,1312945235,1023874688,877119319.2,1234596197,1098128042,767781026.1,1013846525,1041716731,1083872403,1300902580,2106364631,1877606980,1851059113,2320261921,1918734259,2261454307,3272912691,6602014664,9546012983,5494058082,4891857389,4608623372,6375540062,6418268354,7268165382,6942321047,7696011278,6004039264,6270077052,7474549341,6385332847,7904025076,5885419101,6380766594,5866227982,5639234809,5840833548,5055082050,5013741009,5714307213,6305832875,5985820549,6120621209,6800876267,6848722276,6992275740,6857494973,7895797935,8632791161
chainlink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62756735.18,262861550.5,215872863.2,234524268.7,98485098.83,188724611.4,120471986.6,78488469.25,102617907.9,119927573.4,120976487.4,187507327.6,115528597.3,108304380.7,140425337.3,154384460,184778819.5,169716365,368112566.7,1233546996,801129122.8,649088568.4,642277008.1,995335912.4,815761033,642831294.2,1031143796,1490255791,819668397.8,1353940282,1567749690,1743013899,2972451670,6015458739,3806457391,4386318370,5626196325,4465023910,9106653406,10178574422,12076610998,16116983357,13732388150,8524079841,10151007353,12003882155,10859891608,13911077542,11886223849,9194057555,8046817898,7057840956,7901479215,5122068662,3575706587,2877469491,3583584499,3096582025,3735347470,3857243188,3787845739,2736048143,3415121357,3532721703,3933941376,3658559637,3354069114,3256610967,4062595801,3160239568,4548642965,6305175405
maker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837015216.8,655261134.4,322785032.5,643563654.3,470348707.9,327479729.1,403908353.7,307945711.8,359539299.8,443822293.2,264390194.9,322937594.6,266277227,487634957.9,710487215.8,533064818.4,739789128.6,637381146.6,436568287.3,352976583.1,330216965.3,391666699.2,401178474.3,322805962.3,472944596.8,480757187,258862895.6,298767695.2,407971618.4,409359363.4,503147257.7,614883659.8,524004281.2,476554395.8,515881439.2,529774890.1,1338454552,1842414279,1912421633,3909896266,3234284381,2370360888,2705096216,3189093234,2067629131,2183281593,2754302132,2114974365,1925787820,1764943606,1869717296,1291718700,1189306158,778545317.7,995999217.3,687055199.4,665896939.1,809278241.2,596717482.6,462378907.5,589014131,713473845.2,619714778.4,628186835.9,572536505.3,748682348.8,1106215558,1040776738,1382785843,1232664302
usd-coin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127652782.5,179488336.8,250584341,310132134.1,238178935.1,247215043.8,294502573.6,337018772.1,369921760.1,436808772.7,453695805.5,430018640,464372972.3,457052632.4,522027683.4,440802894.1,444538917.7,693220680.9,726339842.3,732150216.5,986360473.6,1079713382,1478076252,2533716802,2937044139,2974088273,3925840105,5890426385,9003494923,10825119296,14671379803,22704685391,25187559420,27319676910,27448639357,31692881419,33110875335,38647787181,42213673135,49918615204,53458489275,51709881549,49179894108,54003654729,56159787682,54475694589,52330137598,47317566544,43404958127,43237688219,44528657221,42443689339,42367057302,32545003021,30507262544,28891039555,27367221915,26489110610,26180791288,25109326927,24741908093
matic-network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9332879.031,49723944.58,48567202.96,24649793.52,25657991.28,23703593.31,32342119.84,72079180.03,35068663.17,45898827.54,52016007.38,30394556.64,42771682.54,68868109.92,66354841.17,76294710.37,100757219.5,76978925.68,58765032.26,93174280.37,84631209.45,184772940.6,1117749256,1804980923,4991210142,11863968587,7337372561,6987112716,8773548421,7527251753,13115422888,12347540712,17486345321,11256659491,11035100527,11093895130,7104638793,4554325283,3689260350,7457474067,6186959628,5796979274,8005095416,8251535424,6808119594,9983569302,10797134763,10176687054,9117104727,8309164582,6156016589,6418228698,5109117382,4957721522,5875386175
solana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635423.506,9399234.951,14164459.01,37711209.17,157231078.2,116997169.8,70310236.99,90930509.96,69766796.85,1108554251,3482110143,5229172252,11625206343,8921358872,9784660090,9870964497,31632430274,42018890337,61090424896,63510180678,52907181306,31354693277,31846087893,40036171559,28318851859,15607744325,11335169280,14746724189,10982002955,11808862838,11727290548,5160133743,3663707630,8896873316,8278729499,8194996259,9057154980,8253719265,7567998784,9604285335,8053897660,8834603607,16146331429
polkadot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5712939725,3998481296,3874741304,5021807205,8790589451,15447495134,32724468747,36315780875,36161115651,23254070864,16512919235,17191651678,32535963685,29647004904,44886129169,40350744977,28732998503,20922623770,20606771091,23348056184,16077408003,11683748016,7768769566,9891619918,8041149796,7310803465,7737917245,6452545833,5124272924,7502144503,7652424036,7727847983,7260991515,6584630092,6452308276,6436555544,5420070720,5257098993,5753039002
avalanche-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106075718.2,89124828.89,91011244.24,234519739.6,1036012456,1842530858,3667524624,4207796400,2353206154,2065555979,2344357341,6930747543,14651539303,14156201089,27230588284,26870290076,17153285602,20678374643,25580015321,15281707942,7208555807,4704499344,6769063616,5622851606,5096140745,5775047508,4085966652,3391585733,6242904986,5543410199,5774920284,5652314786,4860250902,4493191261,4441640925,3529270819,3274706042,4014683766
staked-ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12333635.44,140184744.4,257558423,371312517.9,690706798.3,1213071708,1256728376,1750642899,3939610033,3949031854,6095952587,6968542633,5985253189,4819093900,5853266537,9725620014,10238246818,8041422929,4211619845,7010984455,6466310230,5827879365,7285300040,6116877419,5707855127,7932232309,9092602387,10743770851,11698972199,13021076321,14468983366,14758278423,14028219078,14673174825,15984316106
